Time,Mean Value
1992.985,-32.76290269
1993.010,-32.68455481
1993.039,-32.59367128
1993.064,-32.5153234
1993.096,-32.41503812
1993.119,-32.34295807
1993.147,-32.25520845
1993.175,-32.16745883
1993.202,-32.08284313
1993.229,-31.99822742
1993.283,-31.82899601
1993.311,-31.74124639
1993.338,-31.65663068
1993.365,-31.57201497
1993.392,-31.48739927
1993.419,-31.40278356
1993.446,-31.31816785
1993.474,-31.23041823
1993.501,-31.14580253
1993.528,-31.06118682
1993.582,-30.89195541
1993.610,-30.80420579
1993.637,-30.71959008
1993.664,-30.63497437
1993.691,-30.55035867
1993.717,-30.46887688
1993.745,-30.38112726
1993.772,-30.29651155
1993.799,-30.21189584
1993.854,-30.03953052
1993.881,-29.95491481
1993.908,-29.8702991
1993.935,-29.7856834
1993.963,-29.69793378
1993.989,-29.61645198
1994.017,-29.52870236
1994.044,-29.44408666
1994.071,-29.35947095
1994.098,-29.27485524
1994.126,-29.18710562
1994.153,-29.10248992
1994.180,-29.01787421
1994.234,-28.8486428
1994.261,-28.76402709
1994.289,-28.67627747
1994.316,-28.59166176
1994.343,-28.50704606
1994.370,-28.42243035
1994.397,-28.33781465
1994.424,-28.25319894
1994.451,-28.16858323
1994.506,-27.99621791
1994.533,-27.9116022
1994.560,-27.82698649
1994.587,-27.74237079
1994.615,-27.65462117
1994.642,-27.57000546
1994.669,-27.48538975
1994.696,-27.40077405
1994.723,-27.31615834
1994.750,-27.23154263
1994.777,-27.14692693
1994.805,-27.05917731
1994.832,-26.9745616
1994.886,-26.80533019
1994.913,-26.72071448
1994.941,-26.63296486
1994.968,-26.54834915
1994.995,-26.46373345
1995.022,-26.37911774
1995.049,-26.29450204
1995.076,-26.20988633
1995.104,-26.12213671
1995.131,-26.037521
1995.158,-25.9529053
1995.212,-25.78367388
1995.239,-25.69905818
1995.267,-25.61130856
1995.294,-25.52669285
1995.321,-25.44207714
1995.375,-25.27284573
1995.402,-25.18823002
1995.429,-25.10361432
1995.457,-25.0158647
1995.484,-24.93124899
1995.538,-24.76201758
1995.565,-24.67740187
1995.592,-24.59278617
1995.620,-24.50503654
1995.647,-24.42042084
1995.674,-24.33580513
1995.701,-24.25118943
1995.728,-24.16657372
1995.756,-24.0788241
1995.783,-23.99420839
1995.837,-23.82497698
1995.864,-23.74036127
1995.890,-23.65887948
1995.946,-23.48338024
1995.973,-23.39876453
1996.000,-23.31414883
1996.027,-23.22953312
1996.053,-23.14805133
1996.081,-23.06030171
1996.108,-22.975686
1996.163,-22.80332067
1996.190,-22.71870497
1996.217,-22.63408926
1996.244,-22.54947356
1996.271,-22.46485785
1996.298,-22.38024214
1996.325,-22.29562644
1996.352,-22.21101073
1996.379,-22.12639502
1996.406,-22.04177932
1996.433,-21.95716361
1996.488,-21.78479828
1996.515,-21.70018258
1996.542,-21.61556687
1996.569,-21.53095117
1996.596,-21.44633546
1996.623,-21.36171975
1996.650,-21.27710405
1996.677,-21.19248834
1996.704,-21.10787263
1996.732,-21.02012301
1996.759,-20.93550731
1996.813,-20.76627589
1996.840,-20.68166019
1996.867,-20.59704448
1996.894,-20.51242878
1996.921,-20.42781307
1996.948,-20.34319736
1996.975,-20.25858166
1997.002,-20.17396595
1997.030,-20.08621633
1997.057,-20.00160062
1997.084,-19.91698492
1997.138,-19.7477535
1997.165,-19.6631378
1997.193,-19.57538818
1997.220,-19.49077247
1997.247,-19.40615676
1997.274,-19.32154106
1997.301,-19.23692535
1997.328,-19.15230965
1997.356,-19.06456002
1997.383,-18.97994432
1997.410,-18.89532861
1997.464,-18.7260972
1997.491,-18.64148149
1997.519,-18.55373187
1997.546,-18.46911617
1997.573,-18.38450046
1997.627,-18.21526905
1997.654,-18.13065334
1997.681,-18.04603763
1997.709,-17.95828801
1997.736,-17.87367231
1997.790,-17.70444089
1997.817,-17.61982519
1997.845,-17.53207557
1997.872,-17.44745986
1997.899,-17.36284415
1997.926,-17.27822845
1997.953,-17.19361274
1997.980,-17.10899704
1998.008,-17.02124741
1998.035,-16.93663171
1998.089,-16.7674003
1998.116,-16.68278459
1998.143,-16.59816888
1998.171,-16.51041926
1998.198,-16.42580356
1998.225,-16.34118785
1998.252,-16.25657214
1998.278,-16.17509035
1998.306,-16.08734073
1998.334,-15.99959111
1998.361,-15.9149754
1998.415,-15.74574399
1998.442,-15.66112828
1998.469,-15.57651258
1998.497,-15.48876296
1998.524,-15.40414725
1998.551,-15.31953154
1998.605,-15.15030013
1998.632,-15.06568443
1998.659,-14.98106872
1998.687,-14.8933191
1998.714,-14.80870339
1998.741,-14.72408769
1998.768,-14.63947198
1998.823,-14.46710665
1998.850,-14.38249095
1998.877,-14.29787524
1998.904,-14.21325953
1998.931,-14.12864383
1998.958,-14.04402812
1998.986,-13.9562785
1999.013,-13.87166279
1999.040,-13.78704709
1999.094,-13.61781567
1999.125,-13.52066431
1999.148,-13.44858426
1999.176,-13.36083464
1999.203,-13.27621893
1999.230,-13.19160323
1999.257,-13.10698752
1999.284,-13.02237182
1999.339,-12.85000649
1999.366,-12.76539078
1999.393,-12.68077508
1999.420,-12.59615937
1999.447,-12.51154366
1999.474,-12.42692796
1999.502,-12.33917834
1999.529,-12.25456263
1999.556,-12.16994692
1999.583,-12.08533122
1999.610,-12.00071551
1999.637,-11.9160998
1999.692,-11.74373448
1999.719,-11.65911877
1999.746,-11.57450306
1999.773,-11.48988736
1999.801,-11.40213774
1999.828,-11.31752203
1999.855,-11.23290632
1999.882,-11.14829062
1999.909,-11.06367491
